,id_municipio,entidad,municipio,carpetas,total,crimes_10k,lat,lon,class,map_input
2399,32001,Zacatecas,Apozol,20,6086.0,32.86230693394669,21.470877,-103.09119,2,"[21.470877, -103.09119, 32.86230693394669]"
2400,32002,Zacatecas,Apulco,5,4738.0,10.552975939214823,21.388438,-102.681209,1,"[21.388438, -102.681209, 10.552975939214823]"
2401,32003,Zacatecas,Atolinga,12,2427.0,49.44375772558689,21.806949,-103.465583,3,"[21.806949, -103.465583, 49.44375772558689]"
2402,32004,Zacatecas,Benito Juarez,9,3990.0,22.55639097744367,21.504478,-103.55595,2,"[21.504478, -103.55595, 22.55639097744367]"
2403,32005,Zacatecas,Calera,387,45204.0,85.61189275285358,22.949037,-102.702263,4,"[22.949037, -102.702263, 85.61189275285358]"
2404,32006,Zacatecas,Cañitas De Felipe Pescador,22,8393.0,26.212319790301425,23.606976,-102.72659,2,"[23.606976, -102.72659, 26.212319790301425]"
2405,32007,Zacatecas,Concepcion Del Oro,130,12944.0,100.43263288009867,24.613169,-101.420484,4,"[24.613169, -101.420484, 100.43263288009867]"
2406,32008,Zacatecas,Cuauhtemoc,40,12590.0,31.771247021445564,22.448681,-102.349989,2,"[22.448681, -102.349989, 31.771247021445564]"
2407,32009,Zacatecas,Chalchihuites,17,11416.0,14.89138051857041,23.47735,-103.884046,1,"[23.47735, -103.884046, 14.89138051857041]"
2408,32010,Zacatecas,Fresnillo,2628,230865.0,113.83275940484702,23.174895,-102.868229,4,"[23.174895, -102.868229, 113.83275940484702]"
2409,32011,Zacatecas,Trinidad Garcia De La Cadena,7,2884.0,24.271844660194194,21.20979,-103.464871,2,"[21.20979, -103.464871, 24.271844660194194]"
2410,32012,Zacatecas,Genaro Codina,54,8185.0,65.97434331093442,22.487614,-102.456574,3,"[22.487614, -102.456574, 65.97434331093442]"
2411,32013,Zacatecas,General Enrique Estrada,64,6325.0,101.18577075098803,22.995123,-102.740013,4,"[22.995123, -102.740013, 101.18577075098803]"
2412,32014,Zacatecas,General Francisco R. Murguia,22,21809.0,10.087578522628288,23.994668,-103.019825,0,"[23.994668, -103.019825, 10.087578522628288]"
2413,32015,Zacatecas,El Plateado De Joaquin Amaro,7,1160.0,60.34482758620667,21.936653,-103.092394,3,"[21.936653, -103.092394, 60.34482758620667]"
2414,32016,Zacatecas,General Panfilo Natera,108,23192.0,46.56778199379104,22.664371,-102.109923,3,"[22.664371, -102.109923, 46.56778199379104]"
2415,32017,Zacatecas,Guadalupe,2222,187918.0,118.24306346385127,22.746782,-102.518802,4,"[22.746782, -102.518802, 118.24306346385127]"
